Table: Table_1

late ,Program ,Student Behavior ,Use of TOR ,Restraint ,Comments ,,,
7/15/19 ,TLC1 ,hitting, stomping on adult's feet ,,X ,,1 ,,
9/6/19 ,CTK ,running around room, lifting tables & chairs ,,X x ,,1 ,,
9/9/19 ,CTK ,punching, kicking, spitting, pinching ,,X x ,,2 ,,
9/9/19 ,CTK ,hitting, kicking. pinching ,,X X ,,3 ,,
9/9/19 ,CIP1 ,attacked peer ,,X x ,,1 ,,
9/9/19 ,TLC1 ,punching ,,X X ,,2 ,,
9/9/19 ,TLC1 ,rolling around floor, kicking & hitting ,X x ,transport ,,3 ,,
9/10/19 ,CTK ,kicking, punching. pushing, head butting ,,X X ,,4 ,,
9/11/19 ,CIP1 ,flipping desk, hitting, biting ,,X X ,,2 ,,
9/12/19 ,CTK ,kicking. punching biting, spitting swearing ,,X x ,,5 ,,
9/13/19 ,CTK ,pinching. scratching, spitting, hitting ,,X X ,,6 ,,
9/17/19 ,TLC1 ,distracting behavior, kicking ,X X ,,,4 ,,
9/17/19 ,TLC1 ,crawling around hallway ,X X ,,,5 ,,
9/17/19 ,TLC1 ,hitting, kicking, throwing things ,X x ,,,6 ,,
9/17/19 ,CTK ,spitting, kicking, scratching ,,X x ,,7 ,,
9/23/19 ,CTK ,punching, hitting, kicking, scratching ,,X x ,,8 ,,
9/23/19 ,CIP1 ,SIB, attacking student ,,X x ,,3 ,,
9/25/19 ,CTK ,biting, kicking, scratching ,,X x ,,9 ,,
9/27/19 ,TLC1 ,kicking, hitting, pinching ,,X x ,,7 ,,
9/30/19 ,TLC1 ,hitting and kicking ,,X x ,,8 ,,
9/30/19 ,TLC1 ,punching and kicking ,,X x ,,9 ,,
10/1/19 ,CIP1 ,running from room, kicking ,,X x ,,4 ,,
10/3/19 ,TLC1 ,hitting, throwing objects, kicking, scratching ,,X x ,,10 ,,
10/4/19 ,CTK ,throwing objects, kicking objects ,X x ,,,10 ,,
10/7/19 ,CTK ,kicking, punching, trying to bite ,X x ,,,11 ,,
10/9/19 ,CTK ,Student requested use of TOR ,X x ,,,12 ,,
10/10/19 ,CTK ,kicking, scratching, swearing ,X x ,,,13 ,,
10/10/19 ,CIP1 ,kicking windows and electrical panel ,X x ,X x ,,5 ,,
10/11/19 ,CTK ,Student requested use of TOR ,X x ,,,14 ,had a mtg. ,
10/11/19 ,CIP1 ,threatening other students ,X x ,,,6 ,,
10/17/19 ,TLC1 ,hitting, kicking, throwing objects ,X x ,,,11 ,had mtg. ,
10/18/19 ,CTK ,Sludent requested use of TOR ,X X ,,,15 ,,
10/18/19 ,CTK ,throwing toys, requested use of TOR ,X x ,,,16 ,,
10/18/19 ,CTK ,running towards school exits ,X x ,,,17 ,,
10/18/19 ,CTK ,Student requested use of TOR ,X X ,,,18 ,,
10/18/19 ,CTK ,biling himself, spitting, punching ,,X x ,,19 ,,
10/18/19 ,TLC1 ,punching, kicking ,,X x ,,12 ,,
10/21/19 ,CIP1 ,hitting, spitting ,X X ,X x ,,7 ,,
10/25/19 ,TLC1 ,trying to kick staff ,X X ,,,13 ,,
10/31/19 ,TLC1 ,hurting peer with item ,X X ,,,14 ,,
11/1/19 ,TLC1 ,punching. kicking ,,X x ,,15 ,,
11/8/19 ,TLC1 ,kicking, hitting ,,X X ,,16 ,,





