Table: Table_1

Date ,Program ,Behavior ,TOR ,Restraint ,Comments ,,
12/19/19 ,TLC2 ,Student requested TOR ,X ,,,72 ,
1/6/20 ,TLC2 ,Student requested TOR ,X ,,,73 ,
1/7/20 ,TLC2 ,throwing things, kicking cabinel, kicking and hitting staff ,,transport ,,74 communicated via email ,
1/8/20 ,CCC2 ,throwing large objects ,,X ,,12 ,
1/9/20 ,CCC2 ,throwing objects ,,x ,,13 ,
1/9/20 ,TLC2 ,Student requested TOR ,X x ,,,75 ,
1/9/20 ,TLC2 ,Student requested TOR ,X X ,,,76 ,
1/10/20 ,TLC2 ,throwing chairs ,,transport ,,77 ,
1/10/20 ,TLC2 ,throwing chairs down ,,transport ,,78 ,
1/10/20 ,TLC2 ,throwing chairs ,,transport ,,79 ,
1/13/20 ,CIP2 ,punching. hitting, throwing chairs, threatening to jump oul of window ,,x ,,8 ,
1/13/20 ,TLC2 ,throwing chair, kicking staff ,,x ,,80 ,
1/14/20 ,TLC2 ,throwing chair ,,x ,,81 ,
1/14/20 ,CT4 ,fighting with peer ,,touch control ,,1 ,
1/16/20 ,TLC2 ,throwing chairs ,,transport ,,82 ,
1/16/20 ,TLC2 ,throwing chairs, pushing leacher ,,transport ,,83 ,
1/16/20 ,TLC2 ,throwing items ,,transport ,,84 ,
1/21/20 ,TLC2 ,hitting, kicking, pushing ,,x ,,85 ,
1/23/20 ,TLC2 ,yelling, kicking desk ,x ,,,86 ,
1/23/20 ,CCC2 ,punching. throwing items ,,x ,,,
1/24/20 ,CCC2 ,punching, biling ,,x ,,,
1/28/20 ,CCC2 ,punching staff, destruction of property ,,x ,,14 ,
1/29/20 ,TLC2 ,kicking, punching ,,x ,,87 ,
1/29/20 ,TLC2 ,kicking, hitting ,,x ,,,
2/5/20 ,TLC2 ,kicking supplies ,,transport ,,,
2/10/20 ,TLC2 ,throwing materials, hitling. pushing ,,x ,,,
2/11/20 ,TLC2 ,throwing things, kicking ,,x ,,,
2/12/20 ,TLC2 ,hitting, pushing, punching ,,transport ,,,
2/26/20 ,TLC2 ,hilting. kicking, punching ,,X x ,,,
2/26/20 ,TLC2 ,punching kicking ,,x ,,,
3/10/20 ,TLC2 ,scratching. kicking. punching. yelling ,x ,x ,,,
3/10/20 ,TLC2 ,punching, kicking. biting ,,X ,,,
3/10/20 ,TLC2 ,hilting, kicking pushing ,,X x ,,,
3/10/20 ,TLC2 ,punching hitting ,,X x ,,,
3/10/20 ,TLC2 ,kicking, punching, biting, pinching ,,X X ,,,
3/10/20 ,TLC2 ,hitting, kicking ,X ,X x ,,,
3/11/20 ,TLC2 ,punching ,,X x ,,,
3/11/20 ,TLC2 ,punching. kicking ,,X x ,,,
3/11/20 ,TLC2 ,punching ,,X x ,,,
3/11/20 ,TLC2 ,pushing, kicking, hitting ,,X ,,,





