Table: Table_1

2018-2019 ,Transition from OT he began to have a meltdown. Running outside, threat to hit staff with ice. inappropriate language. Hitting his head on 2/13/19 1:05 PM floor, biting staff, yelling and creaming and kicking staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/15/19 8:15 AM Issues off the bs. Kicking classroom door. Time out, not being safe ,Intervention: Time Out (minutes) ,
2018-2019 ,Transitioned out of time out. Refusing to return to class. Trashing OT room. Swearing at staff, threats to kill teachers and students. 2/26/19 1:30 PM Throwing shoes against the wall. Hitting his head on the hall. ,Intervention: Time Out (minutes) ,
2018-2019 ,upset at end of counseling. Kicking walls/sweating. Support to time 2/28/19 1:00 PM out. ,Intervention: Time Out (minutes) ,
2018-2019 ,Reading group began bullying a student. Refusing to complete work. Constant disruption. Swearing (F U And C***), kicking, screaming. 3/1/19 11:15 AM Tore up staffs shoe. Pinching, hitting his head on the wall. ,Intervention: Time Out (minutes) ,
2018-2019 ,Eloped from art class. Refusing to clean up area. Bullying another 3/4/19 12:35 PM student. F*** you word used. kicking a students belongs. ,Intervention: Time Out (minutes) ,
2018-2019 ,did not want to clean up his desk for calendar time. Started 3/6/19 8:45 AM throwing thing sin the room. ,Intervention: Time Out (minutes) ,
2018-2019 ,During CBI he became frustrated. Unable to roll all bowling pins down. Screaming at staff, swearing kicking and biting. Unsafe 3/7/19 11:20 AM behavior on bus. Scratching staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,Transitioned from counseling, angry. Throwing other students belongings. Attempted to elope. Kicking, hitting and cursing. 3/7/19 1:05 PM ,Intervention: Time Out (minutes) ,
2018-2019 ,Not using iPad correctly. Trying to run out of class. Teasing peers and 3/8/19 1:45 PM swearing at staff. Support escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,Transitioning. Refused to sit his minutes. Teasing, swearing and bullying students. Spitting at staff, pulling his underwear down. In 3/11/19 1:55 PM timeout he was licking the walls. ,Intervention: Time Out (minutes) ,





