Table: Table_1

2019-2020 ,1/27/209.00 AM ,Student was climbing on railing and being unsafe. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/27/20 9:51 AM ,Running from building. Climbing on railings, being unsafe. Escorted to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/27/20 11:11 AM ,Unsafe in halls, running from staff. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/27/20 11:45 AM ,Climbing on counters and being unsafe. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/27/20 12:14 PM ,Running from staff, climbing on railings. Small child needed, time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/28/20 9:30 AM ,Banging on classroom door. Support escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/28/20 10:00 AM ,Banging on classroom door. Support escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/29/20 8:47 AM ,Throwing chairs, flipping desks. Escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/29/20 9:50 AM ,Unsafe, climbing on tables and flipping chairs. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/29/20 10:37 AM ,Trying to leave calming room. Guided to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/24/20 9:00 AM ,Student tried to elope ,Intervention: Time Out (minutes) ,
2019-2020 ,2/24/20 2:09 PM ,Student eloped outside ,Intervention: Time Out (minutes) ,
2019-2020 ,2/25/20 10:15 AM ,Eloped and ran outside, escorted back in building ,Intervention: Time Out (minutes) ,
2019-2020 ,2/27/20 9:23 AM ,Major disruption insubordinate Escorted to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,3/9/20 8:25 AM ,Fish Bowl - Banging on doors, escorted to TO ,Intervention: Physical Intervention (minutes) ,
2019-2020 ,11/21/19 1:30 PM ,Non compliance, refusing to do work, stay in class. Made threats. Took his belt off told staff he would hit them with it. Said he was going to throw chair. Threw binder and chairs around class. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/4/19 12:01 PM ,Student wanted to leave class. Was told to finish work first. Attempted to leave, pushed past staff. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/18/19 12:00 AM ,Refused to do work. Became verbally and physically aggressive towards staff. Escorted to timeout. Eloped, roamed the hallway. Climbing and punching walls. ,Intervention: Time Out (minutes) ,





