Table: Table_1

2018-2019 ,2/14/19 12:20 PM ,During Math, He got upset because he did not want to do work. He swiped the paper off the desk and started to kick staff and tip chairs. He was asked to leave class and was eventually escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/15/19 12:35 PM ,Given a task in life skills, refused to do it. Did not earn choice time due to refusal of work. Eloped from class and wonder halls. Support called, became aggressive and escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/15/19 2:00 PM ,X was asked to complete is work from the day. He refused and started to kick staff, he was asked to leave class. Once in the hall, became aggressive with staff and was escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/26/19 9:00 AM ,refused to rad his book. He put his head down the remainder of lesson. At the end of lesson he was told to move tables. He got upset and left. In hall he began to kick staff and eventually walked into time out. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/26/19 1:50 PM ,was asked to complete work that he did not do during the day. This made him upset and he started to tip chairs and hit furniture. He was taken to the hall where he was kicking and hitting the door and kicking staff. He was taken to time out to calm down. Walked to bus. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/28/19 1:50 PM ,X got upset when told he needed to complete missed work from earlier. He started to throw toys and was asked to leave class. In the hall he began to kick and bite staff, escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/5/19 7:55 AM ,Did not want to complete work in LLI, not ok to throw material but sit quietly. He ran out of room and walked around building. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,3/5/19 2:00 PM ,He refused to complete his work from earlier in the day. Threw a crayon and started to tip chairs and kick staff. Support called, escorted to timeout. ,Intervention: Time Out (minutes) ,





