Table: Table_1

2017-2018 ,4/26/18 3:18 PM ,running from staff, pushing through people trying to bite and swinging at people. ,Intervention: Time Out (minutes) ,
2017-2018 ,5/10/18 10:29 AM ,student was in classroom being aggressive toward staff punching and spitting. ,Intervention: Time Out (minutes) ,
2017-2018 ,5/24/18 12:59 PM ,at four doors and was trying to go after staff and students outside ,Intervention: Time Out (minutes) ,
2017-2018 ,10/19/1712:00 AM ,went out to trail holding a piece of glass ,Intervention: Time Out (minutes) ,
2017-2018 ,10/20/1710:30 AM ,physical aggression ,Intervention: Time Out (minutes) ,
2017-2018 ,11/8/1711:00 AM ,running from staff and threatening with objects ,Intervention: Time Out (minutes) ,
2017-2018 ,1/10/18 9:42 AM ,pushed and slapped open handed staff. choke hold on staff from behind ,Intervention: Time Out (minutes) ,
2017-2018 ,1/10/18 2:12 PM ,Aggression: hitting, pushing, kicking and biting Destruction of Property: flipping tables/chairs drawing on smart board and wall with crayon ,Intervention: Time Out (minutes) ,
2017-2018 ,1/10/18 2:12 PM ,student was screaming and aggressive toward staff and students ,Intervention: Time Out (minutes) ,
2017-2018 ,1/11/18 9:35 AM ,hitting, kicking, shouting, threatening ,Intervention: Time Out (minutes) ,
2017-2018 ,1/11/18 10:55 AM ,hit staff, running away, kicking staff, threaten staff and students, shouting/disrupting classes. ,Intervention: Time Out (minutes) ,
2017-2018 ,1/11/18 2:27 PM ,physically aggressive: hitting kicking spitting yelling ,Intervention: Time Out (minutes) ,
2017-2018 ,1/29/18 10:21 AM ,student was elevated. flipped teacher desk and threw chair. ,Intervention: Time Out (minutes) ,
2017-2018 ,1/31/18 10:12 AM ,spitting, hitting, kicking door, banging head on door, shooting items at others, yelling and screaming ,Intervention: Time Out (minutes) ,
2017-2018 ,1/31/18 12:20 PM ,hitting, kicking, spitting and verbal threats ,Intervention: Time Out (minutes) ,
2017-2018 ,2/1/18 3:09 PM ,student was: kicking, hitting, throwing stuff and flipping desks ,Intervention: Time Out (minutes) ,
2017-2018 ,2/6/18 11:12 AM ,throwing items, yelling, running up on staff, hitting, kicking, and trashing room. ,Intervention: Time Out (minutes) ,
2017-2018 ,2/12/18 11:34 AM ,hitting and kicking staff and trying to bite ,Intervention: Time Out (minutes) ,
2017-2018 ,2/12/18 11:34 AM ,outside classroom screaming and yelling at staff. started hitting staff and running down halls while hitting other students. ,Intervention: Time Out (minutes) ,
2017-2018 ,2/15/18 10:02 AM ,student was being unsafe toward staff, hitting, kicking and biting. ,Intervention: Time Out (minutes) ,





