Table: Table_1

2019-2020 ,12/18/19 9:55 AM ,X returned back to classroom after eloping. Eloped again left building escorted back in ,Intervention: Time Out (minutes) ,
2019-2020 ,1/9/20 10:52 AM ,Finished sitting for 5 minutes. Staff went to work on her reflection sheet. Slapped staff in arm. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/15/209:02 AM ,X X Agitated because she didn't have her water bottle. Suppose to sit in square for 30 minutes, however she inadvertently got into class. intervened, slapped her back. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/23/20 9:25 AM ,Did not earn a point, upset and eloped. Physically aggressive with staff. Restraint then escorted to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/24/20 8:35 AM ,Continued to display unsafe behavior. Support asked her to walk to class. She kicked support. Escorted to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,2/27/20 8:30 AM ,Accidentally hit by another student in the head with a football. She became upset and started threatening staff. Refused to sit quietly. Escorted to calming area. ,Intervention: Time Out (minutes) ,
2019-2020 ,10/7/19 9:40 AM ,Refused to do work. Jumping and screaming. Taken out of class by support. Refused to sit in square. Student started to run and jump everywhere. Escorted by support to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,11/26/19 1:22 PM ,Banging on things, acting like a cat. Running around halls. Wasn't following directions, escort to timeout. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/3/19 10:44 AM ,Non complaint, going under tables and then put shirt over her head, saying she could run around school naked. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/9/19 10:00 AM ,During weekly ready she starred hitting staff saying she doesn't like her and was going to hurt her. ,Intervention: Time Out (minutes) ,
2019-2020 ,12/16/19 10:40 AM ,Refused to do work, started hitting and kicking, Small child hole, escorted to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,12/17/19 2:07 PM ,Swearing to bother other students, Tried to hit staff, running around room and crawling around room ,Intervention: Time Out (minutes) ,
2019-2020 ,12/18/19 12:00 PM ,Student pushed another student on her way to music, used vulgar language and was escorted to TO ,Intervention: Time Out (minutes) ,
2019-2020 ,1/7/20 9:27 AM ,Ran out of LLI brought to a different location to calm. Started swearing and hitting staff, went to time out. ,Intervention: Time Out (minutes) ,
2019-2020 ,1/7/20 10:27 AM ,Under table kicking table. Running around room making noise. Name calling ,Intervention: Time Out (minutes) ,





