Table: Table_1

2020-2021 ,12/18/2011:35 AM ,student playing a game on the iPad. Student refused to follow the directions to get off with 2 reminders. Student became very upset and started to kick and punch staff. support called, student escorted to calming room. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/18/20 12:05 PM ,Student refused to follow directions, started climbing on the A/C register and was not wearing a mask. Support called student escorted to calming room. ,Intervention: Time Out (minutes) ,
2020-2021 ,12/23/209:25 AM ,X refused to do work and follow directions, he was cursing and screaming, he ran out of the classroom and was taken to the Bird's Nest, he refused to leave and was aggressive. While he was in T.O. he peed. He was in T.O. from ,Intervention: Time Out (minutes) ,
2020-2021 ,12/23/20 11:00 AM ,X refused to follow directions and wear a mask. He was aggressive toward staff. He tried to run out. Support was called and he went to T.O. While in T.O. he peed on the floor twice. He was in T.O. from and ,Intervention: Time Out (minutes) ,
2020-2021 ,1/11/21 8:15 AM ,Royal was non-compliant and aggressive toward staff. There was no calming the student and the student was yelling and screaming. Support was called and student was escorted to T.O. He was in T.O. from ,Intervention: Time Out (minutes) ,
2020-2021 ,1/14/21 8:50 AM ,X refused to do I-ready. He was given reminders and when he was told we only have 5 minutes left5, he yelled "I don't care" and attempted to run out of the classroom. He threw the Ipad. was walking into class and escorted to T.O. He was in T.O. from ,Intervention: Time Out (minutes) ,
2020-2021 ,1/21/21 9:45 AM ,X X X eloped from the classroom at 9:35 after he was told it was no longer time for a break. At 9:45 forced his way into the classroom and support was called. threw his football at the overhead speaker, causing it to fall off the wall and hit staff then ran and jumped on top of the vent and showed up and escorted him to T.O. He was in T.O. from ,Intervention: Time Out (minutes) ,





