Table: Table_1

2018-2019 ,12/20/18 12:08 PM ,Student didn't want to see the movie, he wanted to color. He was told he could color before the movie. Spilled the box of crayons and refused to clean the up and started acting out. Escorted to time out by support. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/2/19 1:05 PM ,Refused to clean up his art work and tried to leave class. When stopped he became aggressive and was restrained. Escorted to time out until calm. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/3/19 2:22 PM ,X was given a choice and chose to walk out the door. Support escorted him to the green room. Timer being set for 5 minutes. He said he wanted to go back to class. Headed towards the hall, stopped by support escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/4/19 9:01 AM ,X asked for green room after morning meeting. % minutes un, he ignored direction. Was offered choices, he ignored direction. Support called. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/7/19 11:30 AM ,He was unhappy about a book he was making. He asked for a break, tried to stick his finger in electrical outlet. Needed to leave, he refused. Support called escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/11/19 12:20 PM ,Asked to use green room. Went over directions, he said he would follow them. He wouldn't leave when it was time. Support called, supine done, escorted to timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/23/19 12:00 PM ,Student became upset in lunch line. Tantrum in hall. Support redirect back to line. He elope from building. Taken to timeout. Settled. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/24/19 10:35 AM ,Unhappy about not finding a shark picture to color. Eventually eloped almost outside. Unsafe, supine used, timeout. ,Intervention: Time Out (minutes) ,
2018-2019 ,1/29/19 10:58 AM ,Student eloped from room, He could not reset and was taken to time out. Escort was used part of the way. He tried to elope, kicked staff. ,Intervention: Time Out (minutes) ,
2018-2019 ,2/1/19 12:50 PM ,Didn't want to walk to art. He was pulled out of line for running. Refused to go to art. Kept making attempts to leave the building. Escorted by support to timeout. ,Intervention: Time Out (minutes) ,





