Table: Table_1

2020-2021 ,11/18/2010:05 AM ,Student went into reading room and started destroying property, pulling hair and kicking staff. Support was called and they escorted the student to time out using a one-person small child hold for one minute. Student was in time out room for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/18/2010:05 AM ,Student went into reading room and started destroying property, pulling hair and kicking staff. Support was called and they escorted the student to time out using a one-person small child hold for one minute. Student was in time out room for . ,Intervention: Time Out (minutes) ,
2020-2021 ,11/18/20 : 12:35 PM ,X Student would not participate in P.E. so started throwing equipment. Did not earn choice at the end of class, so ran out to and hid. Support walked with him to time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,11/19/20 12:30 PM ,Ran out of the class during science and headed towards the Fishbowl; climbing on the banister; hitting and kicking staff. Student was escorted by staff in a two-person small child hold for one minute into time out where he stayed for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/19/20 12:30 PM ,Ran out of the class during science and headed towards the Fishbowl; climbing on the banister; hitting and kicking staff. Student was escorted by staff in a two-person small child hold for one minute into time out where he stayed for ,Intervention: Time Out (minutes) ,
2020-2021 ,11/20/201 11:35 AM ,X Student left class and headed towards the Fishbowl. He walked with staff back to class until he ran outside towards the church. Support was called. They escorted him to time out where he stayed for ,Intervention: Physical Intervention (minutes) ,
2020-2021 ,11/24/20 1:15 PM ,Student left art and went to work in the study carols, but he then left there and ran out of the building. Support was called and was walked down to time out where he stayed for When he got out, he ran again and was put back into time out for another s. ,Intervention: Time Out (minutes) ,





